cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,ano_mes,n_cat,n_obito,n_cid_mental,n_cid_lesao,n_cid_musculo,bf_beneficiarios,bf_entradas,bf_valor_total
3102100,310210,4041,MG,ALTO RIO DOCE                                ,202510,0,0,0,0,0,1242,4,816763.0
3160306,316030,5205,MG,SANTO ANTONIO DO JACINTO                     ,202510,0,0,0,0,0,1442,3,943858.0
2201988,220198,0284,PI,BREJO DO PIAUI                               ,202510,0,0,0,0,0,1029,2,685119.0
2202059,220205,1299,PI,CABECEIRAS DO PIAUI                          ,202510,0,0,0,0,0,2050,3,1333621.0
4127403,412740,7921,PR,TERRA ROXA                                   ,202510,0,0,0,0,0,579,5,398456.0
1400050,140005,0305,RR,ALTO ALEGRE                                  ,202510,0,0,0,0,0,2512,32,1879360.0
1400282,140028,0032,RR,IRACEMA                                      ,202510,0,0,0,0,0,1163,1,814846.0
1400407,140040,0311,RR,NORMANDIA                                    ,202510,0,0,0,0,0,2803,27,2472106.0
2806107,280610,3221,SE,ROSARIO DO CATETE                            ,202510,0,0,0,0,0,1982,11,1330256.0
3115409,311540,4307,MG,CATAS ALTAS DA NORUEGA                       ,202510,0,0,0,0,0,353,1,237922.0
3116506,311650,4329,MG,CLARO DOS POCOES                             ,202510,0,0,0,0,0,917,2,587507.0
5000906,500090,9017,MS,ANTONIO JOAO                                 ,202510,0,0,0,0,0,749,6,516955.0
1502608,150260,0451,PA,COLARES                                      ,202510,0,0,0,0,0,2652,1,1791100.0
1503101,150310,0461,PA,GURUPA                                       ,202510,0,0,0,0,0,6821,53,5318823.0
2509339,250933,0488,PB,MATINHAS                                     ,202510,0,0,0,0,0,857,2,586962.0
2209377,220937,2261,PI,SANTA ROSA DO PIAUI                          ,202510,0,0,0,0,0,950,4,641286.0
2209500,220950,1189,PI,SANTO INACIO DO PIAUI                        ,202510,0,0,0,0,0,745,1,494168.0
4315750,431575,7353,RS,RIOZINHO                                     ,202510,0,0,0,0,0,142,1,92311.0
2900801,290080,3315,BA,ALCOBACA                                     ,202510,0,0,0,0,0,4450,8,3054066.0
2915106,291510,3603,BA,ITAGI                                        ,202510,0,0,0,0,0,3344,12,2198336.0
2915403,291540,3609,BA,ITAJU DO COLONIA                             ,202510,0,0,0,0,0,1397,6,940380.0
2915700,291570,3615,BA,ITAMARI                                      ,202510,0,0,0,0,0,1497,5,1013685.0
3132107,313210,4641,MG,ITACARAMBI                                   ,202510,0,0,0,0,0,2446,2,1659980.0
5106281,510628,9867,MT,NOVO SAO JOAQUIM                             ,202510,0,0,0,0,0,531,3,365235.0
5106828,510682,9875,MT,PORTO ESPERIDIAO                             ,202510,0,0,0,0,0,917,3,629631.0
1504950,150495,0391,PA,NOVA ESPERANCA DO PIRIA                      ,202510,0,0,0,0,0,5136,37,3574751.0
2610301,261030,2505,PE,PARANATAMA                                   ,202510,0,0,0,0,0,3054,7,2072258.0
2400307,240030,1605,RN,AFONSO BEZERRA                               ,202510,0,0,0,0,0,2896,10,1828383.0
2400505,240050,1609,RN,ALEXANDRIA                                   ,202510,0,0,0,0,0,2151,4,1410460.0
2401602,240160,1631,RN,BENTO FERNANDES                              ,202510,0,0,0,0,0,995,2,674153.0
2305902,230590,1419,CE,IPUEIRAS                                     ,202510,0,0,0,0,0,6873,3,4654743.0
2105609,210560,0811,MA,JOSELANDIA                                   ,202510,0,0,0,0,0,2880,10,2060426.0
3110103,311010,4201,MG,CAIANA                                       ,202510,0,0,0,0,0,561,2,371306.0
2511004,251100,2121,PB,PEDRA BRANCA                                 ,202510,0,0,0,0,0,570,1,384139.0
2512002,251200,2141,PB,POCINHOS                                     ,202510,0,0,0,0,0,3666,10,2539464.0
2512200,251220,2145,PB,PRATA                                        ,202510,0,0,0,0,0,763,1,507588.0
