cod_ibge7,nome_municipio,uf,meses_dado,total_cat,total_obito,total_cid_mental,corr_n_cat_lag0,corr_n_cat_lag1,corr_n_cat_lag2,corr_n_cat_lag3,corr_n_cat_lag6,corr_n_obito_lag0,corr_n_obito_lag1,corr_n_obito_lag2,corr_n_obito_lag3,corr_n_obito_lag6,corr_n_cid_mental_lag0,corr_n_cid_mental_lag1,corr_n_cid_mental_lag2,corr_n_cid_mental_lag3,corr_n_cid_mental_lag6
4205704,GAROPABA,SC,24,115,0,0,-0.4215791538235134,-0.5420872860266868,-0.06685684094333776,-0.18055976576051347,0.43229534644429696,,,,,,,,,,
4205803,GARUVA,SC,24,220,2,2,-0.24298481151065998,-0.27304515373691923,-0.2629075921024221,-0.26567507056634215,0.2456298622471572,0.20632355617617168,-0.13810125124221703,-0.13146966923801662,-0.13887301496588275,,-0.1312968084757456,-0.13810125124221703,0.24102772693636382,-0.13887301496588275,0.384558538860345
4205902,GASPAR,SC,24,997,2,0,-0.020773370203954186,-0.08653105663503849,0.09053112875193452,0.22192904758083887,0.49741387976941,-0.22541717298540426,-0.03964354660183687,-0.23137874075420972,0.11170844904990009,0.3040941450065051,,,,,
4206009,GOVERNADOR CELSO RAMOS,SC,24,119,0,0,-0.3566673433130105,-0.41764972349330676,-0.20306178593972857,-0.038044557044322594,0.4860244520344173,,,,,,,,,,
4206108,GRAO PARA,SC,24,70,0,0,-0.2662215831100744,-0.20539167122855745,-0.0074720438089670264,0.07445026201733677,0.43170928361199584,,,,,,,,,,
4206207,GRAVATAL,SC,24,55,0,0,-0.12931681999897823,-0.5292390931056368,0.026138846944786142,-0.20338415189930723,-0.08518804406920447,,,,,,,,,,
4206306,GUABIRUBA,SC,24,223,1,0,-0.03843273518981983,0.11879586683157485,0.1080686631571304,0.17870983398612464,0.3782572964030829,0.2625936169514912,-0.13810125124221703,-0.13152996260015795,0.3010451661008468,-0.1080657239463167,,,,,
4206405,GUARACIABA,SC,24,50,0,0,0.07027987412740043,-0.10737682342756213,-0.10282582008401751,-0.16338585418218743,0.11766543906270165,,,,,,,,,,
4206504,GUARAMIRIM,SC,24,759,3,2,-0.005693221049569954,-0.24676858226427065,-0.025548326128243485,-0.10987524606083172,-0.14747146773409278,0.1261179754864281,-0.17669668773639638,0.19236981187641375,-0.16608186954193074,0.34198686714702664,-0.09276856296835104,-0.09726832530780989,-0.08643572325155013,-0.09096678634074566,0.7276068751089989
4206603,GUARUJA DO SUL,SC,24,35,0,0,-0.13078105814302182,-0.07147070539748333,-0.13318180962032738,0.3094774499884664,0.21641016733614646,,,,,,,,,,
4206652,GUATAMBU,SC,24,174,0,0,0.042964806680156384,0.05774864583667971,-0.04943691445045493,0.12273888543953396,0.18000018986601501,,,,,,,,,,
4206702,HERVAL D'OESTE,SC,24,108,0,1,0.07656092130240524,-0.24225045628866723,-0.4747606494667595,-0.12679033876355447,-0.18396587231928582,,,,,,-0.15593525987866802,-0.16437871873282672,-0.1596665001584833,-0.16910276367005675,-0.14802951937156295
4206900,IBIRAMA,SC,24,178,2,2,-0.0980102152665692,-0.09283924162718218,0.07203976908452353,-0.10782170720516054,0.20881825986699903,-0.22541717298540426,-0.03964354660183687,-0.23137874075420972,0.0,-0.18610323617140284,-0.22541717298540426,0.1717887019412931,0.11568937037710486,-0.24536007774118457,0.07751135839932027
4207007,ICARA,SC,24,680,2,1,-0.14427935973631933,-0.4187705397290305,-0.10777252923881339,0.0034791554366309335,-0.037934271429544704,0.21471704226060462,-0.18066417986025618,-0.1696932866035796,-0.179247713966054,0.258731808559231,-0.11879247414119364,-0.12481171852545074,0.49181786949431466,,
